,cc_num,merchant,amt,first,last,gender,state,zip,lat,long,merch_lat,merch_long,is_fraud
1685,3560725013359375,fraud_Hamill-D'Amore,24.84,Brooke,Smith,F,TX,79759,31.8599,-102.7413,32.575873,-102.60429,1
1767,6564459919350820,"fraud_Rodriguez, Yost and Jenkins",780.52,Douglas,Willis,M,WI,53803,42.5545,-90.3508,42.461127000000005,-91.147148,1
1781,6564459919350820,fraud_Nienow PLC,620.33,Douglas,Willis,M,WI,53803,42.5545,-90.3508,42.771834000000005,-90.158365,1
1784,4005676619255478,"fraud_Heathcote, Yost and Kertzmann",1077.69,William,Perry,M,LA,70726,30.459,-90.9027,31.204974,-90.261595,1
1857,3560725013359375,fraud_Hermann and Sons,842.65,Brooke,Smith,F,TX,79759,31.8599,-102.7413,31.315782,-102.73639,1
1891,3524574586339330,fraud_Thompson-Gleason,22.55,Ashley,Cabrera,F,FL,32960,27.633000000000003,-80.4031,28.396402,-80.819469,1
1906,4005676619255478,fraud_Kuhic LLC,1128.26,William,Perry,M,LA,70726,30.459,-90.9027,30.354797,-91.146131,1
1956,4005676619255478,"fraud_Reichert, Rowe and Mraz",931.82,William,Perry,M,LA,70726,30.459,-90.9027,30.761363,-91.7136,1
1968,4005676619255478,"fraud_Kihn, Abernathy and Douglas",983.0,William,Perry,M,LA,70726,30.459,-90.9027,29.902451,-91.749089,1
2026,6564459919350820,fraud_Lemke-Gutmann,955.16,Douglas,Willis,M,WI,53803,42.5545,-90.3508,43.027879,-90.493768,1
2039,4005676619255478,"fraud_Rodriguez, Yost and Jenkins",701.81,William,Perry,M,LA,70726,30.459,-90.9027,30.652786,-90.206798,1
2173,3524574586339330,"fraud_Yost, Block and Koepp",8.39,Ashley,Cabrera,F,FL,32960,27.633000000000003,-80.4031,27.059901,-80.32383,1
2195,4005676619255478,"fraud_Goldner, Kovacek and Abbott",326.94,William,Perry,M,LA,70726,30.459,-90.9027,29.784597,-90.671894,1
2258,3524574586339330,"fraud_Osinski, Ledner and Leuschke",353.08,Ashley,Cabrera,F,FL,32960,27.633000000000003,-80.4031,28.256217,-80.914551,1
2467,4005676619255478,"fraud_Kerluke, Considine and Macejkovic",868.48,William,Perry,M,LA,70726,30.459,-90.9027,30.283263,-90.606406,1
2495,3524574586339330,fraud_Skiles-Ankunding,13.25,Ashley,Cabrera,F,FL,32960,27.633000000000003,-80.4031,27.874482,-80.381534,1
2506,3524574586339330,fraud_Kuhn LLC,777.45,Ashley,Cabrera,F,FL,32960,27.633000000000003,-80.4031,27.913215,-80.423565,1
2650,3524574586339330,fraud_Schumm PLC,967.86,Ashley,Cabrera,F,FL,32960,27.633000000000003,-80.4031,28.218323,-80.97967,1
5669,4005676619255478,"fraud_Baumbach, Strosin and Nicolas",825.81,William,Perry,M,LA,70726,30.459,-90.9027,29.477134000000003,-90.715715,1
5757,3524574586339330,fraud_Shanahan-Lehner,21.92,Ashley,Cabrera,F,FL,32960,27.633000000000003,-80.4031,27.339943,-81.199244,1
